age,months_as_customer,policy_annual_premium,umbrella_limit,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,claim_ratio,avg_claim_per_vehicle,injury_ratio,property_ratio,vehicle_ratio,high_claim_flag,no_witness_high_claim,incident_type,incident_severity,policy_state,insured_sex,collision_type,nlp_fraud_score,fraud_label
48,328,1406.91,0,5,1,1,2,71610,6510,13020,52080,50.86262616218366,35805.0,0.0909078214240829,0.1818156428481658,0.7272625713926631,1,0,2,0,2,1,3,0.4774945961345326,1
42,228,1197.22,5000000,8,1,0,0,5070,780,780,3510,4.231276393316753,2535.0,0.1538158154210215,0.1538158154210215,0.6921711693945968,0,1,3,1,1,1,0,0.5670144391059877,1
29,134,1413.14,5000000,7,3,2,3,34650,7700,3850,23100,24.5025245025245,8662.5,0.2222158090675594,0.1111079045337797,0.6666474272026781,1,0,0,1,2,0,2,0.1363528675630868,0
41,256,1415.74,6000000,5,1,1,2,63400,6340,6340,50720,44.75062467354631,31700.0,0.0999984227378117,0.0999984227378117,0.7999873819024936,1,0,2,0,0,0,1,0.4616602198282877,1
44,228,1583.91,6000000,20,1,0,1,6500,1300,650,4550,4.1011792467711095,3250.0,0.19996923550223042,0.09998461775111521,0.6998923242578065,0,0,3,1,0,1,0,0.0993852642810706,0
39,256,1351.1,0,19,3,0,2,64100,6410,6410,51280,47.40773611419274,16025.0,0.09999843996193507,0.09999843996193507,0.7999875196954805,1,0,0,0,2,0,2,0.4616602198282877,1
34,137,1333.35,0,0,3,0,0,78650,21450,7150,50050,58.94255630082063,19662.5,0.2727238051645879,0.09090793505486262,0.6363555453840384,1,1,0,1,1,1,1,0.1363528675630868,0
37,165,1137.03,0,23,3,2,2,51590,9380,9380,32830,45.33272409338945,12897.5,0.181814657595317,0.181814657595317,0.6363513015836095,1,0,0,2,0,1,1,0.1199742857615153,0
33,27,1442.99,0,21,1,1,1,27700,2770,2770,22160,19.182958330736362,13850.0,0.09999639002202086,0.09999639002202086,0.7999711201761669,1,0,2,2,0,0,1,0.1363528675630868,0
42,212,1315.68,0,14,1,2,1,42300,4700,4700,32900,32.12625694929672,21150.0,0.11110848443299212,0.11110848443299212,0.7777593910309449,1,0,2,2,0,1,2,0.1199742857615153,0
42,235,1253.12,4000000,22,1,2,2,87010,7910,15820,63280,69.37932574235322,43505.0,0.09090804610911264,0.18181609221822528,0.7272643688729011,1,0,2,2,2,0,1,0.1285283970832825,0
61,447,1137.16,0,21,3,1,2,114920,17680,17680,79560,100.9699866451114,28730.0,0.15384481513387457,0.15384481513387457,0.6923016681024355,1,0,0,0,2,0,1,0.1199742857615153,0
23,60,1215.36,3000000,9,1,1,0,56520,4710,9420,42390,46.466506626327735,28260.0,0.08333185895507865,0.1666637179101573,0.7499867305957078,1,1,2,2,2,1,2,0.1285283970832825,0
34,121,936.61,0,5,1,1,1,7280,1120,1120,5040,7.764422307782554,3640.0,0.15382502403516002,0.15382502403516002,0.69221260815822,1,0,1,1,2,0,0,0.1335860877134362,0
38,180,1301.13,0,12,1,0,2,46200,4200,8400,33600,35.480328385030674,23100.0,0.09090712322244107,0.18181424644488214,0.7272569857795286,1,0,2,2,2,0,2,0.4774945961345326,1
58,473,1131.4,0,12,4,0,0,63120,10520,10520,42080,55.740021193924406,12624.0,0.1666640262353258,0.1666640262353258,0.6666561049413032,1,1,0,0,1,0,3,0.4040630399613154,1
26,70,1199.44,5000000,0,3,1,2,52110,5790,5790,40530,43.40908333611009,13027.5,0.11110897891040279,0.11110897891040279,0.7777628523728196,1,0,0,0,2,1,2,0.1285283970832825,0
31,140,708.64,6000000,9,1,0,2,77880,14160,7080,56640,109.74578659602052,38940.0,0.18181584725414415,0.09090792362707208,0.7272633890165766,1,0,2,2,1,1,3,0.1199742857615153,0
